ImageName n;Date;MaskName;ImageCutName;ImageHorizontalSobelName;ImageVerticalSobelName;HorizontalPixelNumber;VerticalPixelNumber;DirectionPlanches
(aaaaa Les Fonds sous Chef-Lieu - annexe.jpg;2010:11:01 10:48:26;(aaaaa Les Fonds sous Chef-Lieu - annexemasque.jpg;(aaaaa Les Fonds sous Chef-Lieu - annexeimageDecoup.jpg;Traitements/Sobel_h_(aaaaa Les Fonds sous Chef-Lieu - annexeimageDecoup.jpg;Traitements/Sobel_v_(aaaaa Les Fonds sous Chef-Lieu - annexeimageDecoup.jpg;3757734;3707998;horizontal
(Val di Borzago) 2.jpg;2012:10:19 13:17:22;(Val di Borzago) 2masque.jpg;(Val di Borzago) 2imageDecoup.jpg;Traitements/Sobel_h_(Val di Borzago) 2imageDecoup.jpg;Traitements/Sobel_v_(Val di Borzago) 2imageDecoup.jpg;1122048;1117176;horizontal
A L'Union - annexe.jpg;2007:08:07 18:24:42;A L'Union - annexemasque.jpg;A L'Union - annexeimageDecoup.jpg;Traitements/Sobel_h_A L'Union - annexeimageDecoup.jpg;Traitements/Sobel_v_A L'Union - annexeimageDecoup.jpg;1238711;1201128;horizontal
A L'Union.jpg;2007:08:09 12:18:10;A L'Unionmasque.jpg;A L'UnionimageDecoup.jpg;Traitements/Sobel_h_A L'UnionimageDecoup.jpg;Traitements/Sobel_v_A L'UnionimageDecoup.jpg;786046;777133;horizontal
Abtenau - Postalm 2b.jpg;2016:03:28 12:01:36;Abtenau - Postalm 2bmasque.jpg;Abtenau - Postalm 2bimageDecoup.jpg;Traitements/Sobel_h_Abtenau - Postalm 2bimageDecoup.jpg;Traitements/Sobel_v_Abtenau - Postalm 2bimageDecoup.jpg;8659274;8413778;horizontal
Abtenau - Postalm.jpg;2016:03:28 11:40:47;Abtenau - Postalmmasque.jpg;Abtenau - PostalmimageDecoup.jpg;Traitements/Sobel_h_Abtenau - PostalmimageDecoup.jpg;Traitements/Sobel_v_Abtenau - PostalmimageDecoup.jpg;0;0;identiques
Acceglio - 0liva 1.jpg;2015:05:01 12:02:56;Acceglio - 0liva 1masque.jpg;Acceglio - 0liva 1imageDecoup.jpg;Traitements/Sobel_h_Acceglio - 0liva 1imageDecoup.jpg;Traitements/Sobel_v_Acceglio - 0liva 1imageDecoup.jpg;2533566;2531544;horizontal
Acceglio 1 & 2.jpg;2015:05:01 12:52:38;Acceglio 1 & 2masque.jpg;Acceglio 1 & 2imageDecoup.jpg;Traitements/Sobel_h_Acceglio 1 & 2imageDecoup.jpg;Traitements/Sobel_v_Acceglio 1 & 2imageDecoup.jpg;9297859;9218866;horizontal
Acceglio 2 & 3.jpg;2015:05:01 12:55:44;Acceglio 2 & 3masque.jpg;Acceglio 2 & 3imageDecoup.jpg;Traitements/Sobel_h_Acceglio 2 & 3imageDecoup.jpg;Traitements/Sobel_v_Acceglio 2 & 3imageDecoup.jpg;5947482;5961106;vertical
Acla (Grisons) 1.jpg;2012:10:12 16:30:41;Acla (Grisons) 1masque.jpg;Acla (Grisons) 1imageDecoup.jpg;Traitements/Sobel_h_Acla (Grisons) 1imageDecoup.jpg;Traitements/Sobel_v_Acla (Grisons) 1imageDecoup.jpg;1327339;1339074;vertical
